Day,Name,FTSE ,CallTrue6800,CallEst6800,PutEst6800,PutTrue6800,CallTrue7600,CallEst7600,PutEst7600,PutTrue7600,ImpVol,Vol,Days to Expire
204,10/11/2018,7006.93,332.5,253,51,153.5,25,5.3,602,622.5,,,56
205,10/12/2018,6995.91,321,278,43,136,24,7,570,592.5,,,55
206,10/15/2018,7029.22,336.5,302,37,119.5,23,9,541,604.5,,,54
207,10/16/2018,7059.4,348.5,299,38,125.5,20.5,9,546,612,,,53
208,10/17/2018,7054.6,340,236,5,128,17,6,572,591.5,,,52
209,10/18/2018,7026.99,331,291,36,119.5,16.5,6,550,596,,,51
210,10/19/2018,7049.8,342.5,284,37,120,16.5,7,557,671,,,50
211,10/22/2018,7042.8,339.5,215,55,153.5,13,3,641,675,,,49
212,10/23/2018,6955.21,294,221,53,153,12.5,3,634,640.5,,,48
213,10/24/2018,6962.98,289,251,43,139.5,14.5,4,595,733.5,,,47
214,10/25/2018,7004.1,312.5,203,60,185,12,2,658,610,,,46
215,10/26/2018,6939.56,261.5,263,35,133.5,19,4,573,603,,,45
216,10/29/2018,7026.32,341.5,272,33,131,21.5,4,564,517.5,,,44
217,10/30/2018,7035.85,348.5,349,18,98.5,28,9,476,554,,,43
218,10/31/2018,7128.1,407.5,338,20,106.5,20.5,8,488,551.5,,,42
219,11/1/2018,7114.66,371.5,317,20,101.5,19,5,506,535.5,,,41
220,11/2/2018,7094.12,367.5,326,19,91,19,6,497,594.5,,,40
221,11/5/2018,7103.84,373.5,273,28,106.5,11,3,558,534,,,39
222,11/6/2018,7040.68,322.5,333,13,80,13.5,5,483,503,,,38
223,11/7/2018,7117.28,358.5,356,11,68.5,14,6,460,527,,,37
224,11/8/2018,7140.68,378,323,15,76.5,12.5,4,494,572.5,,,36
225,11/9/2018,7105.34,361.5,278,22,91,11,3,545,579,,,35
226,11/12/2018,7053.08,328.5,276,19,91,10,2,544,597.5,,,34
227,11/13/2018,7053.76,321,259,22,98.5,9.5,1.4,564,602.5,,,33
228,11/14/2018,7033.79,309.5,262,31,106.5,10,1.5,561,587,,,32
229,11/15/2018,7038.01,312.5,237,21,92,8,1,584,618.5,,,31
230,11/16/2018,7013.88,312,227,24,100,5.5,1,597,668.5,,,30
231,11/19/2018,7000.89,286,192,35,125.5,5,0.26,650,562,,0.094998,29
232,11/20/2018,6947.92,261,267,16,83.5,9,1,548,645,,0.095141,28
233,11/21/2018,7050.23,329.5,191,29,109,5.5,0.2,637,652.5,,0.09887,27
234,11/22/2018,6960.32,268.5,186,31,109,4,0.178,645,566.5,,0.100797,26
235,11/23/2018,6952.86,259.5,254,16,79,7,1,562,583.5,,0.100797,25
236,11/26/2018,7036,318.5,236,18,83,5.5,1,581,600.5,,0.103132,24
237,11/27/2018,7016.85,304,222,15,88,5,0.146,594,552.5,,0.103149,23
238,11/28/2018,7004.52,291.5,252,11,75,8,0.256,559,638.5,,0.102558,22
239,11/29/2018,7038.95,330,201,19,93,4.5,0.09,618,531,,0.102583,21
240,11/30/2018,6980.24,258.5,269,6,62.5,6.5,0.132,536,576.5,,0.10296,20
241,12/3/2018,7062.41,337.5,233,9,72.5,4.5,0.006,576,672.5,,0.103746,19
242,12/4/2018,7022.76,300,149,26,109,3,0.007,677,932,,0.102477,18
243,12/5/2018,6921.84,239,33,127,255.5,1.5,0,895,814.5,,0.104651,17
244,12/6/2018,6704.05,124.5,54,75,189.5,3.5,0,821,872.5,,0.116174,16
245,12/7/2018,6778.11,178,33,111,217.5,2,0,878,771.5,,0.117384,15
246,12/10/2018,6721.54,146.5,67,60,151.5,2.5,0,792,720.5,,0.117782,14
247,12/11/2018,6806.94,182,112,32,124.5,3,0,719,731,,0.120096,13
248,12/12/2018,6880.19,206.5,85,11,116.5,2,0,722,772,,0.121743,12
249,12/13/2018,6877.5,187,65,19,130,1,0,878,822.5,,0.121258,11
250,12/14/2018,6845.17,158.5,26,52,154,1,0,826,890.5,,0.121289,10
251,12/17/2018,6773.24,132,27,61,190,0.5,0,898,821.5,,0.122181,9
252,12/18/2018,6701.59,99.5,27,61,149,1,0,834,887,,0.123233,8
253,12/19/2018,6765.94,128,12,99,186,0.5,0,888,897.5,,0.124603,7
254,12/20/2018,6711.93,98.5,14,92,184,0.5,0,878,926.5,,0.124791,6
255,12/21/2018,6721.17,86,1,115,201.5,0.5,0,914,926.5,,0.124413,5
256,12/24/2018,6685.99,74.5,1,115,201.5,0.5,0,914,926.5,,0.120639,4
257,12/25/2018,6685.99,74.5,1,115,201.5,0.5,0,914,1009,,0.120594,3
258,12/26/2018,6685.99,74.5,0,215,264,0.5,0,1015,863,,0.119791,2
259,12/27/2018,6584.68,54.5,4,70,163,0.5,0,866,878.5,,0.121906,1
260,12/28/2018,6733.97,99.5,3,75,164,0.5,0,866,878.5,,0.128363,0
